from,to
RFX2,ALS2CR12
BATF3,BRSK2
PAX2,SLC40A1
ELF4,RFC4
POU6F2,IPCEF1
SOX21,GLRA2
NKX2-3,SLC26A4
ETV5,RASA2
ETV5,KCTD12
MYCN,C1orf61
KLF14,DNAJC30
ELK1,FGFRL1
HF1H3B,MAP4K3
NFKB,ZNF384
CREB3L1,PPA1
FOXC2,LRRTM4
CREB5,STX12
KLF16,CNN2
ARX,ADRA1A
RHOXF1,SF3A3
KLF4,MARCKSL1
SP1,CYTH4
NRF1,SLMO2
HOXA10,ARAP1
PRDM1,PDE1B
KLF4,IL10RB
RARA,C16orf72
CREB3,FANCF
SOX9,ZNF214
POU1F1,ERMN
MAF,ZNF366
ZBTB14,IGSF3
ETV5,TNPO3
KLF14,HTATSF1
MEIS3,ENPP5
SP1,OSBP2
CDX1,B3GNT5
NRF1,TBC1D24
HF1H3B,SCAI
DLX1,FRMD4A
NHLH1,CLDN23
POU2F1,NRXN3
ELF2,IRX4
SP1,ASTN1
FOXD2,TAB2
HOXC10,MAML2
BARHL2,OSBPL3
IRF2,PARP9
YY1,PAWR
EGR1,GRIA2
RARA,VKORC1
EGR3,KREMEN1
TBX21,EPHX4
GFI1B,RCAN2
ETV4,NPAT
NFY,CCDC108
E2F1,ACY1
IRF,CAPZA2
SMAD3,DLK1
RFX4,HES6
RFX4,PPP1R21
E2F4,C2CD4C
BHLHE40,HSDL1
GLI,C1orf100
PRRX2,LMO3
SP1,EPB41L4B
KLF12,VIM
HIC1,GPR12
VAX2,C4orf32
